"","source","term_id","term_name","term_size","intersection_size","adj_pval"
"1","GO:BP","GO:0044255","cellular lipid metabolic process",342,72,2.70791904683298e-26
"2","GO:BP","GO:0006629","lipid metabolic process",367,73,2.41313238712185e-25
"3","GO:BP","GO:0044281","small molecule metabolic process",802,107,1.13410019921057e-23
"4","GO:BP","GO:1901135","carbohydrate derivative metabolic process",348,67,2.24792841371009e-22
"5","GO:BP","GO:1901137","carbohydrate derivative biosynthetic process",258,57,6.55121226929063e-22
"6","GO:BP","GO:0008610","lipid biosynthetic process",231,54,6.55121226929063e-22
"7","GO:BP","GO:0070085","glycosylation",88,33,8.31537477334022e-20
"8","GO:BP","GO:0009100","glycoprotein metabolic process",99,34,4.60554241568134e-19
"9","GO:BP","GO:0043413","macromolecule glycosylation",87,32,5.1601199803967e-19
"10","GO:BP","GO:0006486","protein glycosylation",87,32,5.1601199803967e-19
"11","GO:BP","GO:0008152","metabolic process",3887,256,6.3607603869721e-19
"12","GO:BP","GO:0009101","glycoprotein biosynthetic process",90,32,1.44386558521449e-18
"13","GO:BP","GO:0046467","membrane lipid biosynthetic process",75,29,6.07204838158058e-18
"14","GO:BP","GO:0071704","organic substance metabolic process",3696,245,4.42971948405886e-17
"15","GO:BP","GO:0006643","membrane lipid metabolic process",87,30,5.43790297278973e-17
"16","GO:BP","GO:0006664","glycolipid metabolic process",39,21,1.51624039226221e-16
"17","GO:BP","GO:1903509","liposaccharide metabolic process",39,21,1.51624039226221e-16
"18","GO:BP","GO:0009247","glycolipid biosynthetic process",35,20,1.93296843242415e-16
"19","GO:BP","GO:0006505","GPI anchor metabolic process",37,20,8.23429357529028e-16
"20","GO:BP","GO:0006487","protein N-linked glycosylation",53,23,1.47320336511326e-15
"21","GO:BP","GO:0006506","GPI anchor biosynthetic process",31,16,4.01894117303026e-12
"22","GO:BP","GO:0006644","phospholipid metabolic process",173,35,4.49757167187625e-12
"23","GO:BP","GO:0005975","carbohydrate metabolic process",269,44,6.53124337342787e-12
"24","GO:BP","GO:0008654","phospholipid biosynthetic process",131,30,9.18111921020867e-12
"25","GO:BP","GO:0046486","glycerolipid metabolic process",149,31,5.36739211224279e-11
"26","GO:BP","GO:0006650","glycerophospholipid metabolic process",132,29,6.84192037604944e-11
"27","GO:BP","GO:0006490","oligosaccharide-lipid intermediate biosynthetic process",15,11,1.25387726506278e-10
"28","GO:BP","GO:0016052","carbohydrate catabolic process",101,25,1.40134259620011e-10
"29","GO:BP","GO:0070127","tRNA aminoacylation for mitochondrial protein translation",12,10,1.40134259620011e-10
"30","GO:BP","GO:1901566","organonitrogen compound biosynthetic process",1076,98,1.95774975547705e-10
"31","GO:BP","GO:0046488","phosphatidylinositol metabolic process",86,22,1.39361886636648e-09
"32","GO:BP","GO:0098771","inorganic ion homeostasis",121,26,1.47888982385481e-09
"33","GO:BP","GO:0046474","glycerophospholipid biosynthetic process",96,23,1.96788657451262e-09
"34","GO:BP","GO:0043038","amino acid activation",41,15,6.95165114491338e-09
"35","GO:BP","GO:0043039","tRNA aminoacylation",41,15,6.95165114491338e-09
"36","GO:BP","GO:0045017","glycerolipid biosynthetic process",102,23,6.95165114491338e-09
"37","GO:BP","GO:0006497","protein lipidation",49,16,1.1476929530919e-08
"38","GO:BP","GO:0042158","lipoprotein biosynthetic process",49,16,1.1476929530919e-08
"39","GO:BP","GO:0042592","homeostatic process",315,42,1.40592812594893e-08
"40","GO:BP","GO:0042157","lipoprotein metabolic process",50,16,1.53642388022376e-08
"41","GO:BP","GO:0000023","maltose metabolic process",13,9,2.10647476220167e-08
"42","GO:BP","GO:0030001","metal ion transport",109,23,2.38537922439256e-08
"43","GO:BP","GO:0019725","cellular homeostasis",285,39,2.69362376623096e-08
"44","GO:BP","GO:0006661","phosphatidylinositol biosynthetic process",61,17,4.40959461010874e-08
"45","GO:BP","GO:0048878","chemical homeostasis",266,37,4.60108237544895e-08
"46","GO:BP","GO:0006879","intracellular iron ion homeostasis",57,16,1.16555015097868e-07
"47","GO:BP","GO:0009987","cellular process",4993,272,2.09117445343046e-07
"48","GO:BP","GO:0006418","tRNA aminoacylation for protein translation",38,13,2.32613884558039e-07
"49","GO:BP","GO:0055082","intracellular chemical homeostasis",235,33,2.77815516104566e-07
"50","GO:BP","GO:0055080","monoatomic cation homeostasis",166,27,2.78707113192477e-07
"51","GO:BP","GO:1901564","organonitrogen compound metabolic process",2171,148,3.45268447579128e-07
