"","source","term_id","term_name","term_size","intersection_size","adj_pval"
"1","GO:BP","GO:0006091","generation of precursor metabolites and energy",243,47,6.01080567248541e-49
"2","GO:BP","GO:1902600","proton transmembrane transport",107,37,2.01750244838721e-47
"3","GO:BP","GO:0006812","monoatomic cation transport",217,43,8.96740543860484e-45
"4","GO:BP","GO:0006811","monoatomic ion transport",243,43,1.29736499599563e-42
"5","GO:BP","GO:0098662","inorganic cation transmembrane transport",189,38,4.30817823728051e-39
"6","GO:BP","GO:0098655","monoatomic cation transmembrane transport",190,38,4.39478125453795e-39
"7","GO:BP","GO:0098660","inorganic ion transmembrane transport",209,39,4.39478125453795e-39
"8","GO:BP","GO:0006119","oxidative phosphorylation",51,26,4.34930172756848e-38
"9","GO:BP","GO:0034220","monoatomic ion transmembrane transport",207,38,1.0041334310138e-37
"10","GO:BP","GO:0009060","aerobic respiration",106,31,7.52447668539238e-37
"11","GO:BP","GO:0045333","cellular respiration",129,32,1.30813027950112e-35
"12","GO:BP","GO:0019646","aerobic electron transport chain",44,23,6.34265200530689e-34
"13","GO:BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport",45,23,1.10413251715892e-33
"14","GO:BP","GO:0042773","ATP synthesis coupled electron transport",45,23,1.10413251715892e-33
"15","GO:BP","GO:0022904","respiratory electron transport chain",53,23,1.47407621447086e-31
"16","GO:BP","GO:0015986","proton motive force-driven ATP synthesis",28,19,4.58578012694326e-31
"17","GO:BP","GO:0006754","ATP biosynthetic process",28,19,4.58578012694326e-31
"18","GO:BP","GO:0015980","energy derivation by oxidation of organic compounds",182,32,1.30642132603494e-30
"19","GO:BP","GO:0046034","ATP metabolic process",32,19,2.00152802134501e-29
"20","GO:BP","GO:0022900","electron transport chain",64,23,2.4055820308167e-29
"21","GO:BP","GO:0055085","transmembrane transport",504,43,2.67987138961459e-29
"22","GO:BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process",33,19,3.86773897579942e-29
"23","GO:BP","GO:0009145","purine nucleoside triphosphate biosynthetic process",33,19,3.86773897579942e-29
"24","GO:BP","GO:0009205","purine ribonucleoside triphosphate metabolic process",38,19,1.54005056470001e-27
"25","GO:BP","GO:0009201","ribonucleoside triphosphate biosynthetic process",39,19,2.86102792901086e-27
"26","GO:BP","GO:0009144","purine nucleoside triphosphate metabolic process",40,19,5.20008333653347e-27
"27","GO:BP","GO:0009142","nucleoside triphosphate biosynthetic process",43,19,2.98400630740472e-26
"28","GO:BP","GO:0009199","ribonucleoside triphosphate metabolic process",44,19,5.02570845959891e-26
"29","GO:BP","GO:0009141","nucleoside triphosphate metabolic process",52,19,2.47391249718736e-24
"30","GO:BP","GO:0006163","purine nucleotide metabolic process",145,25,2.65249339992077e-23
"31","GO:BP","GO:0009152","purine ribonucleotide biosynthetic process",72,20,6.57901853083722e-23
"32","GO:BP","GO:0072521","purine-containing compound metabolic process",160,25,3.26349201797692e-22
"33","GO:BP","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",18,13,7.85376568861812e-22
"34","GO:BP","GO:0009260","ribonucleotide biosynthetic process",87,20,4.07717960946172e-21
"35","GO:BP","GO:0046390","ribose phosphate biosynthetic process",93,20,1.6947987890485e-20
"36","GO:BP","GO:0009150","purine ribonucleotide metabolic process",94,20,2.07727165966616e-20
"37","GO:BP","GO:0009117","nucleotide metabolic process",193,25,3.47045130137444e-20
"38","GO:BP","GO:0006164","purine nucleotide biosynthetic process",98,20,4.83497553882366e-20
