"","source","term_id","term_name","term_size","intersection_size","adj_pval"
"1","GO:BP","GO:0044281","small molecule metabolic process",802,79,1.39542548994582e-47
"2","GO:BP","GO:0006418","tRNA aminoacylation for protein translation",38,23,2.78173720489879e-30
"3","GO:BP","GO:0043039","tRNA aminoacylation",41,23,1.75097962991206e-29
"4","GO:BP","GO:0043038","amino acid activation",41,23,1.75097962991206e-29
"5","GO:BP","GO:0008204","ergosterol metabolic process",36,20,1.92634368285465e-25
"6","GO:BP","GO:0016128","phytosteroid metabolic process",36,20,1.92634368285465e-25
"7","GO:BP","GO:0016129","phytosteroid biosynthetic process",32,19,4.73447992045909e-25
"8","GO:BP","GO:0006696","ergosterol biosynthetic process",32,19,4.73447992045909e-25
"9","GO:BP","GO:0097384","cellular lipid biosynthetic process",32,19,4.73447992045909e-25
"10","GO:BP","GO:1902653","secondary alcohol biosynthetic process",34,19,2.21903674042248e-24
"11","GO:BP","GO:1901576","organic substance biosynthetic process",2716,95,1.75500140117082e-23
"12","GO:BP","GO:1902652","secondary alcohol metabolic process",44,20,2.09676601392196e-23
"13","GO:BP","GO:0009058","biosynthetic process",2730,95,2.34591223054309e-23
"14","GO:BP","GO:1901566","organonitrogen compound biosynthetic process",1076,64,5.01784682743293e-23
"15","GO:BP","GO:0016126","sterol biosynthetic process",40,19,9.68997295911253e-23
"16","GO:BP","GO:0006694","steroid biosynthetic process",41,19,1.67143049420011e-22
"17","GO:BP","GO:0016125","sterol metabolic process",52,20,9.5651483718618e-22
"18","GO:BP","GO:0008202","steroid metabolic process",54,20,2.24644098523598e-21
"19","GO:BP","GO:1901360","organic cyclic compound metabolic process",2064,81,6.58290385950922e-20
"20","GO:BP","GO:0055086","nucleobase-containing small molecule metabolic process",235,30,6.40172146409925e-18
"21","GO:BP","GO:0009165","nucleotide biosynthetic process",133,24,1.14629801508641e-17
"22","GO:BP","GO:1901293","nucleoside phosphate biosynthetic process",135,24,1.58155217073928e-17
"23","GO:BP","GO:1901362","organic cyclic compound biosynthetic process",1111,58,2.1844961245721e-17
"24","GO:BP","GO:0046165","alcohol biosynthetic process",83,20,2.96316395759756e-17
"25","GO:BP","GO:0009117","nucleotide metabolic process",193,27,4.12752662054805e-17
"26","GO:BP","GO:0006753","nucleoside phosphate metabolic process",201,27,1.16830742033828e-16
"27","GO:BP","GO:0090407","organophosphate biosynthetic process",289,31,1.85578605854187e-16
"28","GO:BP","GO:0006066","alcohol metabolic process",132,22,1.89018977900093e-15
"29","GO:BP","GO:1901617","organic hydroxy compound biosynthetic process",103,20,2.39520045427079e-15
"30","GO:BP","GO:0044237","cellular metabolic process",3511,96,3.79170530469687e-15
"31","GO:BP","GO:0044283","small molecule biosynthetic process",357,32,8.80920827375515e-15
"32","GO:BP","GO:0006399","tRNA metabolic process",208,25,2.99678713597011e-14
"33","GO:BP","GO:0044249","cellular biosynthetic process",2651,83,4.15662060974596e-14
"34","GO:BP","GO:0006520","amino acid metabolic process",253,26,3.2478213291082e-13
"35","GO:BP","GO:1901615","organic hydroxy compound metabolic process",169,22,3.32635603748938e-13
"36","GO:BP","GO:0019637","organophosphate metabolic process",410,32,4.14393360038497e-13
"37","GO:BP","GO:0071704","organic substance metabolic process",3696,95,1.69971298417635e-12
"38","GO:BP","GO:0044271","cellular nitrogen compound biosynthetic process",1578,61,2.86897963041268e-12
"39","GO:BP","GO:1901137","carbohydrate derivative biosynthetic process",258,25,3.90327103600427e-12
"40","GO:BP","GO:0009987","cellular process",4993,106,7.25477387693824e-12
"41","GO:BP","GO:1901135","carbohydrate derivative metabolic process",348,28,1.09741430041334e-11
"42","GO:BP","GO:0008152","metabolic process",3887,96,1.46305516482101e-11
"43","GO:BP","GO:0006082","organic acid metabolic process",445,31,2.18182374780038e-11
"44","GO:BP","GO:0042727","flavin-containing compound biosynthetic process",8,7,3.4101668362437e-11
"45","GO:BP","GO:0019752","carboxylic acid metabolic process",425,30,3.78971130918466e-11
"46","GO:BP","GO:1901564","organonitrogen compound metabolic process",2171,70,6.36535407554959e-11
"47","GO:BP","GO:0043436","oxoacid metabolic process",443,30,1.05904591206409e-10
"48","GO:BP","GO:0042726","flavin-containing compound metabolic process",10,7,4.56516890493122e-10
"49","GO:BP","GO:0046483","heterocycle metabolic process",2005,65,8.82606922490597e-10
"50","GO:BP","GO:0008610","lipid biosynthetic process",231,21,1.17628831119751e-09
"51","GO:BP","GO:0009231","riboflavin biosynthetic process",7,6,1.61486876369425e-09
"52","GO:BP","GO:0006771","riboflavin metabolic process",7,6,1.61486876369425e-09
"53","GO:BP","GO:0015937","coenzyme A biosynthetic process",7,6,1.61486876369425e-09
"54","GO:BP","GO:0034032","purine nucleoside bisphosphate metabolic process",32,9,1.59498276627596e-08
"55","GO:BP","GO:0033875","ribonucleoside bisphosphate metabolic process",32,9,1.59498276627596e-08
"56","GO:BP","GO:0033865","nucleoside bisphosphate metabolic process",32,9,1.59498276627596e-08
"57","GO:BP","GO:0006721","terpenoid metabolic process",9,6,1.75478508632168e-08
"58","GO:BP","GO:0009259","ribonucleotide metabolic process",110,14,2.52488613211952e-08
"59","GO:BP","GO:0015936","coenzyme A metabolic process",10,6,4.18254157947949e-08
"60","GO:BP","GO:0044238","primary metabolic process",3521,86,4.43770937229538e-08
"61","GO:BP","GO:0019693","ribose phosphate metabolic process",117,14,5.47181068014193e-08
"62","GO:BP","GO:0044205","'de novo' UMP biosynthetic process",6,5,7.5713590780278e-08
"63","GO:BP","GO:0006725","cellular aromatic compound metabolic process",1995,61,7.5713590780278e-08
"64","GO:BP","GO:0006163","purine nucleotide metabolic process",145,15,1.0729730249088e-07
"65","GO:BP","GO:0006720","isoprenoid metabolic process",29,8,1.43744905797073e-07
