"","source","term_id","term_name","term_size","intersection_size","adj_pval"
"1","GO:BP","GO:0044281","small molecule metabolic process",802,228,1.98539678026827e-69
"2","GO:BP","GO:0044255","cellular lipid metabolic process",342,136,2.77259240595419e-57
"3","GO:BP","GO:0006629","lipid metabolic process",367,139,1.04618489404491e-55
"4","GO:BP","GO:0008610","lipid biosynthetic process",231,92,2.00359098172926e-37
"5","GO:BP","GO:0019637","organophosphate metabolic process",410,124,4.65364933539071e-37
"6","GO:BP","GO:0006082","organic acid metabolic process",445,129,1.27932933474301e-36
"7","GO:BP","GO:0043436","oxoacid metabolic process",443,128,3.41099057127212e-36
"8","GO:BP","GO:0019752","carboxylic acid metabolic process",425,124,1.8864543021588e-35
"9","GO:BP","GO:0046486","glycerolipid metabolic process",149,69,9.86530158690092e-33
"10","GO:BP","GO:0006644","phospholipid metabolic process",173,72,1.59968747121302e-30
"11","GO:BP","GO:1901135","carbohydrate derivative metabolic process",348,104,3.21389171835541e-30
"12","GO:BP","GO:0044282","small molecule catabolic process",158,68,6.97246850008129e-30
"13","GO:BP","GO:0006650","glycerophospholipid metabolic process",132,62,8.32859003699391e-30
"14","GO:BP","GO:0008152","metabolic process",3887,458,1.1785522528056e-28
"15","GO:BP","GO:0071704","organic substance metabolic process",3696,440,8.42668612186641e-27
"16","GO:BP","GO:0090407","organophosphate biosynthetic process",289,88,6.01659942596849e-26
"17","GO:BP","GO:0009987","cellular process",4993,525,6.33046803263724e-26
"18","GO:BP","GO:0046488","phosphatidylinositol metabolic process",86,46,5.10721058679918e-25
"19","GO:BP","GO:0008654","phospholipid biosynthetic process",131,56,2.58714961854805e-24
"20","GO:BP","GO:1901137","carbohydrate derivative biosynthetic process",258,80,4.51190250996526e-24
"21","GO:BP","GO:0055085","transmembrane transport",504,117,1.52976219066271e-23
"22","GO:BP","GO:0046474","glycerophospholipid biosynthetic process",96,47,1.87683401840082e-23
"23","GO:BP","GO:0045017","glycerolipid biosynthetic process",102,48,5.08964271588921e-23
"24","GO:BP","GO:0006661","phosphatidylinositol biosynthetic process",61,37,1.07181092577014e-22
"25","GO:BP","GO:0032787","monocarboxylic acid metabolic process",172,61,1.64091531516019e-21
"26","GO:BP","GO:0006793","phosphorus metabolic process",759,146,3.07434152974121e-21
"27","GO:BP","GO:0046467","membrane lipid biosynthetic process",75,38,1.53811383525628e-19
"28","GO:BP","GO:0006643","membrane lipid metabolic process",87,40,1.24292511951116e-18
"29","GO:BP","GO:0006796","phosphate-containing compound metabolic process",741,138,1.55419752039996e-18
"30","GO:BP","GO:0016054","organic acid catabolic process",107,43,2.43400371291225e-17
"31","GO:BP","GO:1901575","organic substance catabolic process",815,144,2.94806115842185e-17
"32","GO:BP","GO:0005975","carbohydrate metabolic process",269,71,6.42923170959859e-17
"33","GO:BP","GO:0016052","carbohydrate catabolic process",101,41,9.93655526288307e-17
"34","GO:BP","GO:0046395","carboxylic acid catabolic process",106,42,1.0670844584436e-16
"35","GO:BP","GO:1901615","organic hydroxy compound metabolic process",169,54,1.13545956207875e-16
"36","GO:BP","GO:0061795","Golgi lumen acidification",16,16,4.63109782887166e-16
"37","GO:BP","GO:0048388","endosomal lumen acidification",16,16,4.63109782887166e-16
"38","GO:BP","GO:0044237","cellular metabolic process",3511,398,5.36798536289613e-16
"39","GO:BP","GO:0009056","catabolic process",1028,164,1.509889770385e-15
"40","GO:BP","GO:0009100","glycoprotein metabolic process",99,39,2.02025704889985e-15
"41","GO:BP","GO:0009101","glycoprotein biosynthetic process",90,37,2.43481904171014e-15
"42","GO:BP","GO:0070085","glycosylation",88,36,7.74904232259217e-15
"43","GO:BP","GO:0044283","small molecule biosynthetic process",357,80,9.81513308387837e-15
"44","GO:BP","GO:0043413","macromolecule glycosylation",87,35,3.62220990348289e-14
"45","GO:BP","GO:0006486","protein glycosylation",87,35,3.62220990348289e-14
