"","source","term_id","term_name","term_size","intersection_size","adj_pval"
"1","GO:BP","GO:0044281","small molecule metabolic process",802,281,6.54951581919556e-144
"2","GO:BP","GO:0019637","organophosphate metabolic process",410,158,1.02086358643176e-77
"3","GO:BP","GO:0006082","organic acid metabolic process",445,151,7.77005814116615e-65
"4","GO:BP","GO:0043436","oxoacid metabolic process",443,150,2.5822991887043e-64
"5","GO:BP","GO:0090407","organophosphate biosynthetic process",289,121,1.23597107749672e-62
"6","GO:BP","GO:0019752","carboxylic acid metabolic process",425,144,1.44390536479555e-61
"7","GO:BP","GO:0044283","small molecule biosynthetic process",357,126,2.70840343394112e-55
"8","GO:BP","GO:0044255","cellular lipid metabolic process",342,122,5.53924961606349e-54
"9","GO:BP","GO:0006629","lipid metabolic process",367,126,8.45250320987754e-54
"10","GO:BP","GO:0055086","nucleobase-containing small molecule metabolic process",235,97,1.08326957494774e-48
"11","GO:BP","GO:0006793","phosphorus metabolic process",759,174,5.61691583981058e-48
"12","GO:BP","GO:0006796","phosphate-containing compound metabolic process",741,170,1.03818924290309e-46
"13","GO:BP","GO:1901615","organic hydroxy compound metabolic process",169,80,3.30036702107746e-45
"14","GO:BP","GO:0044282","small molecule catabolic process",158,77,1.27270960208684e-44
"15","GO:BP","GO:0006066","alcohol metabolic process",132,70,1.3602937975901e-43
"16","GO:BP","GO:0006753","nucleoside phosphate metabolic process",201,85,2.05790455864335e-43
"17","GO:BP","GO:0009117","nucleotide metabolic process",193,82,5.48818126931307e-42
"18","GO:BP","GO:0006520","amino acid metabolic process",253,90,8.92046735696993e-39
"19","GO:BP","GO:0071704","organic substance metabolic process",3696,400,7.11091191623461e-38
"20","GO:BP","GO:0009987","cellular process",4993,463,1.3072320955458e-37
"21","GO:BP","GO:0046165","alcohol biosynthetic process",83,52,3.80075332490473e-37
"22","GO:BP","GO:0008610","lipid biosynthetic process",231,84,6.42202705621951e-37
"23","GO:BP","GO:1901566","organonitrogen compound biosynthetic process",1076,189,7.70643527993774e-35
"24","GO:BP","GO:0046395","carboxylic acid catabolic process",106,56,1.55356032934608e-34
"25","GO:BP","GO:0016054","organic acid catabolic process",107,56,2.92813330841384e-34
"26","GO:BP","GO:1901617","organic hydroxy compound biosynthetic process",103,55,2.96410399660553e-34
"27","GO:BP","GO:1901293","nucleoside phosphate biosynthetic process",135,62,8.29607007591302e-34
"28","GO:BP","GO:0008152","metabolic process",3887,404,1.59685541020021e-33
"29","GO:BP","GO:0009165","nucleotide biosynthetic process",133,61,3.18340521941696e-33
"30","GO:BP","GO:0044237","cellular metabolic process",3511,379,2.88689312004942e-32
"31","GO:BP","GO:0072521","purine-containing compound metabolic process",160,63,1.24684083066414e-29
"32","GO:BP","GO:0032787","monocarboxylic acid metabolic process",172,64,1.94888295071024e-28
"33","GO:BP","GO:0006644","phospholipid metabolic process",173,61,1.53188566052929e-25
"34","GO:BP","GO:0006163","purine nucleotide metabolic process",145,55,9.36443137213256e-25
"35","GO:BP","GO:0009259","ribonucleotide metabolic process",110,47,1.07949372718775e-23
"36","GO:BP","GO:1901135","carbohydrate derivative metabolic process",348,85,2.47679990099308e-23
"37","GO:BP","GO:0019693","ribose phosphate metabolic process",117,48,2.74238724385959e-23
"38","GO:BP","GO:0046486","glycerolipid metabolic process",149,54,3.40163288310128e-23
"39","GO:BP","GO:0006766","vitamin metabolic process",63,35,2.3249425095579e-22
"40","GO:BP","GO:0006767","water-soluble vitamin metabolic process",63,35,2.3249425095579e-22
"41","GO:BP","GO:0016042","lipid catabolic process",67,36,2.38453674149711e-22
"42","GO:BP","GO:0042364","water-soluble vitamin biosynthetic process",56,33,3.28558463895863e-22
"43","GO:BP","GO:0009110","vitamin biosynthetic process",56,33,3.28558463895863e-22
"44","GO:BP","GO:1901605","alpha-amino acid metabolic process",183,58,1.27840886054105e-21
"45","GO:BP","GO:0072522","purine-containing compound biosynthetic process",104,43,5.1531894024252e-21
"46","GO:BP","GO:0008654","phospholipid biosynthetic process",131,48,7.92857982602235e-21
"47","GO:BP","GO:1901564","organonitrogen compound metabolic process",2171,257,1.55932267793305e-20
"48","GO:BP","GO:0044242","cellular lipid catabolic process",54,31,2.10142625463551e-20
"49","GO:BP","GO:0009123","nucleoside monophosphate metabolic process",54,31,2.10142625463551e-20
"50","GO:BP","GO:1901576","organic substance biosynthetic process",2716,297,9.18905959790791e-20
"51","GO:BP","GO:0009058","biosynthetic process",2730,298,9.33307141897259e-20
"52","GO:BP","GO:0009112","nucleobase metabolic process",42,27,1.37966976607433e-19
"53","GO:BP","GO:0008204","ergosterol metabolic process",36,25,2.21634256301483e-19
"54","GO:BP","GO:0016128","phytosteroid metabolic process",36,25,2.21634256301483e-19
"55","GO:BP","GO:0009063","amino acid catabolic process",63,32,6.25640352646527e-19
"56","GO:BP","GO:1902653","secondary alcohol biosynthetic process",34,24,7.18543101665988e-19
"57","GO:BP","GO:1902652","secondary alcohol metabolic process",44,27,7.49460821685728e-19
"58","GO:BP","GO:0009124","nucleoside monophosphate biosynthetic process",44,27,7.49460821685728e-19
"59","GO:BP","GO:1901575","organic substance catabolic process",815,131,8.50723723039881e-19
"60","GO:BP","GO:0045017","glycerolipid biosynthetic process",102,40,1.30655639855357e-18
"61","GO:BP","GO:0043094","cellular metabolic compound salvage",35,24,1.95871771942895e-18
"62","GO:BP","GO:0016129","phytosteroid biosynthetic process",32,23,2.03593523050901e-18
"63","GO:BP","GO:0006696","ergosterol biosynthetic process",32,23,2.03593523050901e-18
"64","GO:BP","GO:0097384","cellular lipid biosynthetic process",32,23,2.03593523050901e-18
"65","GO:BP","GO:0006164","purine nucleotide biosynthetic process",98,39,2.03593523050901e-18
"66","GO:BP","GO:0006575","cellular modified amino acid metabolic process",42,26,2.47030455014842e-18
"67","GO:BP","GO:0042398","cellular modified amino acid biosynthetic process",24,20,3.08660390015057e-18
"68","GO:BP","GO:0006650","glycerophospholipid metabolic process",132,45,3.48165942152558e-18
"69","GO:BP","GO:0008202","steroid metabolic process",54,29,4.25003775569714e-18
"70","GO:BP","GO:0009161","ribonucleoside monophosphate metabolic process",44,26,1.25430653599093e-17
"71","GO:BP","GO:0016125","sterol metabolic process",52,28,1.62314352376564e-17
"72","GO:BP","GO:0009156","ribonucleoside monophosphate biosynthetic process",41,25,2.01881279947696e-17
"73","GO:BP","GO:0046474","glycerophospholipid biosynthetic process",96,37,5.83597180396951e-17
"74","GO:BP","GO:0009260","ribonucleotide biosynthetic process",87,35,9.73157715044336e-17
"75","GO:BP","GO:0046390","ribose phosphate biosynthetic process",93,36,1.41142228588676e-16
"76","GO:BP","GO:0046394","carboxylic acid biosynthetic process",195,53,1.50993187101055e-16
"77","GO:BP","GO:0016053","organic acid biosynthetic process",195,53,1.50993187101055e-16
"78","GO:BP","GO:1901137","carbohydrate derivative biosynthetic process",258,62,1.52802026037883e-16
"79","GO:BP","GO:0044238","primary metabolic process",3521,345,1.71714390582854e-16
"80","GO:BP","GO:0044248","cellular catabolic process",595,102,3.32576760577572e-16
"81","GO:BP","GO:0006694","steroid biosynthetic process",41,24,3.5399460479255e-16
"82","GO:BP","GO:0072527","pyrimidine-containing compound metabolic process",49,26,4.29573201329316e-16
"83","GO:BP","GO:0072329","monocarboxylic acid catabolic process",38,23,5.7395671017651e-16
