Strain,Experimental,GSMM,Binary_Experimental,Binary_GSMM,ML_prediction
A01_01,17.470821887375,0.813713278442914,1,0,0
A01_02,18.0529250220805,2.09426293208056,1,1,1
A01_03,18.1637816445279,2.09429972418833,1,1,1
A01_04,15.5758556905444,2.06384324101485,0,1,0
A01_05,17.8084444888731,0.668187777740567,1,0,1
A01_06,16.0856014033813,0.844127371323211,0,0,1
A01_07,16.4724482831848,1.05103671001052,1,0,0
A01_08,16.2108560760312,2.07882406512206,0,1,0
A01_09,15.1617602675682,2.06323190887045,0,1,0
A01_10,16.3884513124473,1.92969996648318,1,1,0
A01_11,17.5495993977132,2.0332486810921,1,1,1
A01_12,18.9019432928663,2.09438240955436,1,1,1
A01_14,16.2937012817552,1.96050907554766,0,1,1
A01_15,15.0760570405392,0.995326130961209,0,0,1
A01_16,14.8492678943762,0.801962729891049,0,0,0
A01_17,16.4325784399088,0.449276672362875,1,0,1
A01_18,17.3741680699374,0.985493035328452,1,0,0
A01_19,15.3679769328983,0.993940265857014,0,0,0
A01_20,14.5069454843514,2.05921400357191,0,1,0
A01_21,17.1095773519731,1.94201387567646,1,1,1
A01_22,17.1131768395069,2.10240374405149,1,1,1
A01_23,15.6805649223009,2.03269503581536,0,1,0
A01_24,16.4749164202771,2.06007991212526,1,1,1
A01_25,13.1440108553795,0.779072548800063,0,0,0
A01_26,16.6221701787455,1.06830267181595,1,0,0
A01_27,17.4333612751576,2.10860825915863,1,1,1
A01_28,17.2925647905893,2.09426293208203,1,1,0
A01_29,16.7635176845849,0.986766944416968,1,0,1
A01_30,17.4542963972591,2.09426293208163,1,1,0
A01_31,15.5443067672063,2.00485671841235,0,1,0
A01_32,16.2229767088161,0.985965745639515,0,0,1
A01_33,18.7841655760445,0.997888753836964,1,0,1
A01_34,17.5650244226419,2.03273502962656,1,1,1
A01_35,16.2125509790178,2.09435974408219,0,1,1
A01_36,15.4126355203986,2.04507707719641,0,1,0
A01_37,16.2822889787941,1.94282625610699,0,1,1
A01_38,15.4619256831835,0.953073655301535,0,0,1
A01_39,15.9473260997174,2.06304230484337,0,1,1
A01_40,16.3158736723217,1.42271673199386,0,0,0
A01_41,16.3575430362985,2.05966394949392,1,1,0
