Strain,Growth
A01_02,High
A01_03,High
A01_05,High
A01_12,High
A01_16,Low
A01_20,Low
A01_27,High
A01_33,High
A01_34,High
A01_49,Low
A01_71,High
A01_77,Low
A01_79,High
A01_87,High
A01_88,Low
A01_89,High
A01_94,Low
A01_95,High
A01_96,Low
A02_09,Low
A02_22,High
A02_32,High
A02_35,High
A02_40,High
A02_53,High
A02_58,Low
A02_64,High
A02_69,Low
A02_74,Low
A02_86,High
A02_92,Low
A02_93,High
A03_09,Low
A03_14,Low
A03_26,Low
A03_27,High
A03_29,Low
A03_35,High
A03_48,Low
A03_50,High
A03_72,Low
A03_76,Low
A03_80,High
A03_82,Low
A03_83,Low
A03_95,Low
A04_01,High
A04_07,High
A04_10,Low
A04_22,Low
A04_27,High
A04_33,Low
A04_35,Low
A04_39,Low
A04_41,High
A04_48,Low
A04_52,Low
A04_53,Low
A05_17,Low
A05_19,Low
A05_29,High
A05_40,Low
A05_56,Low
A05_65,High
A05_71,Low
A05_76,Low
A05_79,Low
A05_83,Low
A05_85,High
A05_94,Low
A06_09,Low
A06_11,Low
A06_20,High
A06_23,Low
A06_25,Low
A06_27,High
A06_35,High
A06_39,High
A06_58,Low
A06_63,Low
A06_66,High
A06_71,High
A06_92,High
A07_02,High
A07_14,Low
A07_24,Low
A07_30,High
A07_39,Low
A07_45,High
A07_48,Low
A07_49,High
A07_51,High
A07_53,High
A07_64,Low
A07_70,Low
A07_71,Low
A07_73,Low
A07_76,Low
A08_03,High
A08_11,High
A08_15,Low
A08_18,High
A08_38,High
A08_65,High
A08_68,Low
A08_69,Low
A08_72,High
A08_73,Low
A08_86,Low
A08_92,Low
A08_93,High
A09_01,Low
A09_03,Low
A09_07,High
A09_08,Low
A09_09,High
A09_10,High
A09_18,Low
A09_30,High
A09_35,Low
A09_37,Low
A09_56,Low
A09_66,Low
A09_72,High
A09_74,Low
A09_87,High
A09_93,Low
A10_13,Low
A10_19,Low
A10_25,High
A10_26,Low
A10_46,Low
A10_48,Low
A10_55,High
A10_60,High
A10_64,High
A10_70,Low
A10_76,High
A10_82,Low
A10_91,High
A11_08,Low
A11_12,High
A11_14,Low
A11_20,High
A11_22,Low
A11_28,Low
A11_30,High
A11_35,High
A11_57,High
A11_68,High
A11_73,Low
A11_77,High
A11_82,Low
A11_86,Low
