"","source","term_id","term_name","term_size","intersection_size","adj_pval"
"1","GO:BP","GO:0042761","very long-chain fatty acid biosynthetic process",7,4,1.10609273807301e-09
"2","GO:BP","GO:0000038","very long-chain fatty acid metabolic process",11,4,5.20931790384961e-09
"3","GO:BP","GO:0006665","sphingolipid metabolic process",54,5,1.01626621549967e-08
"4","GO:BP","GO:0006643","membrane lipid metabolic process",87,5,8.86751822406567e-08
"5","GO:BP","GO:0006633","fatty acid biosynthetic process",26,4,9.40516984297796e-08
"6","GO:BP","GO:0030497","fatty acid elongation",5,3,1.14494659746335e-07
"7","GO:BP","GO:0030148","sphingolipid biosynthetic process",44,4,6.07316323999677e-07
"8","GO:BP","GO:0072330","monocarboxylic acid biosynthetic process",53,4,1.14373085673204e-06
"9","GO:BP","GO:0006631","fatty acid metabolic process",70,4,3.16999473259914e-06
"10","GO:BP","GO:0046467","membrane lipid biosynthetic process",75,4,3.77729850721371e-06
"11","GO:BP","GO:0008610","lipid biosynthetic process",231,5,4.4942397493533e-06
"12","GO:BP","GO:0044255","cellular lipid metabolic process",342,5,2.92897052051318e-05
"13","GO:BP","GO:0006629","lipid metabolic process",367,5,3.84213211976136e-05
"14","GO:BP","GO:0032787","monocarboxylic acid metabolic process",172,4,7.62920506884423e-05
"15","GO:BP","GO:0046394","carboxylic acid biosynthetic process",195,4,0.000110107738563143
"16","GO:BP","GO:0016053","organic acid biosynthetic process",195,4,0.000110107738563143
"17","GO:BP","GO:0044283","small molecule biosynthetic process",357,4,0.00113320223156442
"18","GO:BP","GO:0019752","carboxylic acid metabolic process",425,4,0.00211811364845184
"19","GO:BP","GO:0043436","oxoacid metabolic process",443,4,0.00228090919859515
"20","GO:BP","GO:0006082","organic acid metabolic process",445,4,0.00228090919859515
"21","GO:BP","GO:0010166","wax metabolic process",1,1,0.0056242041220587
"22","GO:BP","GO:0010025","wax biosynthetic process",1,1,0.0056242041220587
"23","GO:BP","GO:0048640","negative regulation of developmental growth",1,1,0.0056242041220587
"24","GO:BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation",1,1,0.0056242041220587
"25","GO:BP","GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation",1,1,0.0056242041220587
"26","GO:BP","GO:1901570","fatty acid derivative biosynthetic process",1,1,0.0056242041220587
"27","GO:BP","GO:0018212","peptidyl-tyrosine modification",2,1,0.0100809147200629
"28","GO:BP","GO:0018108","peptidyl-tyrosine phosphorylation",2,1,0.0100809147200629
"29","GO:BP","GO:0046514","ceramide catabolic process",2,1,0.0100809147200629
"30","GO:BP","GO:0048638","regulation of developmental growth",3,1,0.0125866664110925
"31","GO:BP","GO:0034625","fatty acid elongation, monounsaturated fatty acid",3,1,0.0125866664110925
