"","source","term_id","term_name","term_size","intersection_size","adj_pval"
"1","GO:BP","GO:0044255","cellular lipid metabolic process",342,74,1.11219802349962e-27
"2","GO:BP","GO:0006629","lipid metabolic process",367,75,1.14414867854417e-26
"3","GO:BP","GO:0044281","small molecule metabolic process",802,109,1.55031058486595e-24
"4","GO:BP","GO:1901135","carbohydrate derivative metabolic process",348,67,4.11986636684307e-22
"5","GO:BP","GO:0008610","lipid biosynthetic process",231,54,1.07901078647752e-21
"6","GO:BP","GO:1901137","carbohydrate derivative biosynthetic process",258,57,1.07901078647752e-21
"7","GO:BP","GO:0070085","glycosylation",88,33,1.14366464642799e-19
"8","GO:BP","GO:0008152","metabolic process",3887,259,2.92871743229824e-19
"9","GO:BP","GO:0009100","glycoprotein metabolic process",99,34,5.66571922882647e-19
"10","GO:BP","GO:0006486","protein glycosylation",87,32,6.38190064940732e-19
"11","GO:BP","GO:0043413","macromolecule glycosylation",87,32,6.38190064940732e-19
"12","GO:BP","GO:0009101","glycoprotein biosynthetic process",90,32,1.9615470308199e-18
"13","GO:BP","GO:0046467","membrane lipid biosynthetic process",75,29,8.03061652721622e-18
"14","GO:BP","GO:0071704","organic substance metabolic process",3696,248,1.44969911867647e-17
"15","GO:BP","GO:0006643","membrane lipid metabolic process",87,30,7.23260126706532e-17
"16","GO:BP","GO:1903509","liposaccharide metabolic process",39,21,1.8661232079355e-16
"17","GO:BP","GO:0006664","glycolipid metabolic process",39,21,1.8661232079355e-16
"18","GO:BP","GO:0009247","glycolipid biosynthetic process",35,20,2.35751956483157e-16
"19","GO:BP","GO:0006505","GPI anchor metabolic process",37,20,1.00336516537992e-15
"20","GO:BP","GO:0006487","protein N-linked glycosylation",53,23,1.84144082151942e-15
"21","GO:BP","GO:0005975","carbohydrate metabolic process",269,45,2.24045225952975e-12
"22","GO:BP","GO:0006506","GPI anchor biosynthetic process",31,16,4.48894775640745e-12
"23","GO:BP","GO:0006644","phospholipid metabolic process",173,35,5.81573633875046e-12
"24","GO:BP","GO:0008654","phospholipid biosynthetic process",131,30,1.19623988316761e-11
"25","GO:BP","GO:0016052","carbohydrate catabolic process",101,26,2.714609619347e-11
"26","GO:BP","GO:0046486","glycerolipid metabolic process",149,31,6.743287507482e-11
"27","GO:BP","GO:0006650","glycerophospholipid metabolic process",132,29,8.48480704482325e-11
"28","GO:BP","GO:0006490","oligosaccharide-lipid intermediate biosynthetic process",15,11,1.3510846087676e-10
"29","GO:BP","GO:0070127","tRNA aminoacylation for mitochondrial protein translation",12,10,1.50228293382463e-10
