"","source","term_id","term_name","term_size","intersection_size","adj_pval"
"1","GO:BP","GO:0044281","small molecule metabolic process",802,102,2.52822598963227e-56
"2","GO:BP","GO:1901566","organonitrogen compound biosynthetic process",1076,89,6.24677219316663e-31
"3","GO:BP","GO:0016129","phytosteroid biosynthetic process",32,23,1.00107698391234e-29
"4","GO:BP","GO:0016128","phytosteroid metabolic process",36,24,1.00107698391234e-29
"5","GO:BP","GO:0008204","ergosterol metabolic process",36,24,1.00107698391234e-29
"6","GO:BP","GO:0006696","ergosterol biosynthetic process",32,23,1.00107698391234e-29
"7","GO:BP","GO:0097384","cellular lipid biosynthetic process",32,23,1.00107698391234e-29
"8","GO:BP","GO:1902653","secondary alcohol biosynthetic process",34,23,8.60543595043104e-29
"9","GO:BP","GO:1901576","organic substance biosynthetic process",2716,129,1.5085059553009e-28
"10","GO:BP","GO:0009058","biosynthetic process",2730,129,2.49005432254817e-28
"11","GO:BP","GO:0006418","tRNA aminoacylation for protein translation",38,23,3.13953425284683e-27
"12","GO:BP","GO:1902652","secondary alcohol metabolic process",44,24,5.79308031092465e-27
"13","GO:BP","GO:0090407","organophosphate biosynthetic process",289,47,1.33009672148806e-26
"14","GO:BP","GO:0016126","sterol biosynthetic process",40,23,1.36260968988797e-26
"15","GO:BP","GO:0043038","amino acid activation",41,23,2.50843864677832e-26
"16","GO:BP","GO:0006694","steroid biosynthetic process",41,23,2.50843864677832e-26
"17","GO:BP","GO:0043039","tRNA aminoacylation",41,23,2.50843864677832e-26
"18","GO:BP","GO:0046165","alcohol biosynthetic process",83,29,5.6328410013157e-26
"19","GO:BP","GO:0044283","small molecule biosynthetic process",357,50,1.57025225375494e-25
"20","GO:BP","GO:0016125","sterol metabolic process",52,24,7.24722730096437e-25
"21","GO:BP","GO:0008202","steroid metabolic process",54,24,2.18722245855713e-24
"22","GO:BP","GO:1901362","organic cyclic compound biosynthetic process",1111,81,4.07391026122702e-24
"23","GO:BP","GO:1901617","organic hydroxy compound biosynthetic process",103,29,5.36876650492123e-23
"24","GO:BP","GO:0019637","organophosphate metabolic process",410,50,8.8302479247911e-23
"25","GO:BP","GO:1901360","organic cyclic compound metabolic process",2064,107,1.08358812059858e-22
"26","GO:BP","GO:0006066","alcohol metabolic process",132,31,4.29914668372843e-22
"27","GO:BP","GO:0055086","nucleobase-containing small molecule metabolic process",235,38,3.38685383172034e-21
"28","GO:BP","GO:0009117","nucleotide metabolic process",193,35,3.98803005516057e-21
"29","GO:BP","GO:0006753","nucleoside phosphate metabolic process",201,35,1.59271632351895e-20
"30","GO:BP","GO:0044237","cellular metabolic process",3511,133,1.32208624217953e-19
"31","GO:BP","GO:0044249","cellular biosynthetic process",2651,116,2.63547194481862e-19
