"","source","term_id","term_name","term_size","intersection_size","adj_pval"
"1","GO:BP","GO:0044281","small molecule metabolic process",802,229,6.49328616110921e-80
"2","GO:BP","GO:0044255","cellular lipid metabolic process",342,113,2.37832577551831e-41
"3","GO:BP","GO:0006629","lipid metabolic process",367,116,1.55107221638324e-40
"4","GO:BP","GO:0006082","organic acid metabolic process",445,125,3.66137643949245e-38
"5","GO:BP","GO:0019752","carboxylic acid metabolic process",425,122,3.66137643949245e-38
"6","GO:BP","GO:0043436","oxoacid metabolic process",443,124,1.03053373363701e-37
"7","GO:BP","GO:0019637","organophosphate metabolic process",410,114,5.06452131055734e-34
"8","GO:BP","GO:1901135","carbohydrate derivative metabolic process",348,104,8.57856385309179e-34
"9","GO:BP","GO:0044282","small molecule catabolic process",158,69,2.20614349793815e-33
"10","GO:BP","GO:0008152","metabolic process",3887,432,2.20614349793815e-33
"11","GO:BP","GO:0071704","organic substance metabolic process",3696,413,8.73579214380233e-30
"12","GO:BP","GO:0008610","lipid biosynthetic process",231,77,6.00122277499402e-28
"13","GO:BP","GO:1901137","carbohydrate derivative biosynthetic process",258,76,1.24359391330042e-23
"14","GO:BP","GO:1901615","organic hydroxy compound metabolic process",169,59,3.26319079845663e-22
"15","GO:BP","GO:0090407","organophosphate biosynthetic process",289,78,1.19807023831482e-21
"16","GO:BP","GO:0006793","phosphorus metabolic process",759,138,2.69509020164965e-21
"17","GO:BP","GO:0009987","cellular process",4993,474,3.54900432747421e-20
"18","GO:BP","GO:0032787","monocarboxylic acid metabolic process",172,56,2.03011950238035e-19
"19","GO:BP","GO:0006796","phosphate-containing compound metabolic process",741,132,2.07544878928949e-19
"20","GO:BP","GO:0006644","phospholipid metabolic process",173,56,2.51092657815327e-19
"21","GO:BP","GO:0005975","carbohydrate metabolic process",269,71,4.61616428865345e-19
"22","GO:BP","GO:0016052","carbohydrate catabolic process",101,42,5.35690009057565e-19
"23","GO:BP","GO:1901575","organic substance catabolic process",815,139,7.34233590198371e-19
"24","GO:BP","GO:0016054","organic acid catabolic process",107,43,8.21228805076712e-19
"25","GO:BP","GO:0046467","membrane lipid biosynthetic process",75,36,8.84051053802261e-19
"26","GO:BP","GO:0044283","small molecule biosynthetic process",357,83,9.22497013198279e-19
"27","GO:BP","GO:0046395","carboxylic acid catabolic process",106,42,4.00197092238742e-18
"28","GO:BP","GO:0006650","glycerophospholipid metabolic process",132,47,4.05911986091084e-18
"29","GO:BP","GO:0046486","glycerolipid metabolic process",149,50,4.68650571744473e-18
"30","GO:BP","GO:0044237","cellular metabolic process",3511,372,1.56422636734156e-17
"31","GO:BP","GO:0006643","membrane lipid metabolic process",87,37,3.57279866972168e-17
