"","source","term_id","term_name","term_size","intersection_size","adj_pval"
"1","GO:BP","GO:0042168","heme metabolic process",18,9,1.03922109079842e-17
"2","GO:BP","GO:0006778","porphyrin-containing compound metabolic process",18,9,1.03922109079842e-17
"3","GO:BP","GO:0006779","porphyrin-containing compound biosynthetic process",17,9,1.03922109079842e-17
"4","GO:BP","GO:0006783","heme biosynthetic process",17,9,1.03922109079842e-17
"5","GO:BP","GO:0033013","tetrapyrrole metabolic process",18,9,1.03922109079842e-17
"6","GO:BP","GO:0033014","tetrapyrrole biosynthetic process",17,9,1.03922109079842e-17
"7","GO:BP","GO:0042440","pigment metabolic process",18,9,1.03922109079842e-17
"8","GO:BP","GO:0046148","pigment biosynthetic process",17,9,1.03922109079842e-17
"9","GO:BP","GO:0046501","protoporphyrinogen IX metabolic process",7,5,1.14783015839579e-10
"10","GO:BP","GO:0006782","protoporphyrinogen IX biosynthetic process",7,5,1.14783015839579e-10
"11","GO:BP","GO:0042724","thiamine-containing compound biosynthetic process",18,6,2.34940599657184e-10
"12","GO:BP","GO:0009229","thiamine diphosphate biosynthetic process",8,5,2.34940599657184e-10
"13","GO:BP","GO:0042357","thiamine diphosphate metabolic process",8,5,2.34940599657184e-10
"14","GO:BP","GO:0042723","thiamine-containing compound metabolic process",20,6,3.84820082702743e-10
"15","GO:BP","GO:0034308","primary alcohol metabolic process",30,6,5.38728448369163e-09
"16","GO:BP","GO:0009228","thiamine biosynthetic process",17,5,1.94673750991834e-08
"17","GO:BP","GO:0034309","primary alcohol biosynthetic process",17,5,1.94673750991834e-08
"18","GO:BP","GO:0006772","thiamine metabolic process",18,5,2.54019686141856e-08
"19","GO:BP","GO:0072528","pyrimidine-containing compound biosynthetic process",41,6,3.14674037046275e-08
"20","GO:BP","GO:0072527","pyrimidine-containing compound metabolic process",49,6,9.14119707889008e-08
"21","GO:BP","GO:0042364","water-soluble vitamin biosynthetic process",56,6,1.90114961228009e-07
"22","GO:BP","GO:0009110","vitamin biosynthetic process",56,6,1.90114961228009e-07
"23","GO:BP","GO:0006784","heme A biosynthetic process",3,3,2.84362592642808e-07
"24","GO:BP","GO:0046160","heme a metabolic process",3,3,2.84362592642808e-07
"25","GO:BP","GO:0006766","vitamin metabolic process",63,6,3.31689183368674e-07
"26","GO:BP","GO:0006767","water-soluble vitamin metabolic process",63,6,3.31689183368674e-07
