Strain,Phenotype
A01_36,0.0
A01_38,0.0
A01_49,0.0
A01_71,1.0
A01_80,0.0
A02_27,0.0
A02_81,1.0
A03_06,1.0
A03_49,1.0
A04_19,1.0
A04_48,0.0
A04_85,1.0
A04_89,1.0
A05_08,1.0
A05_18,0.0
A05_21,1.0
A05_42,0.0
A05_54,1.0
A05_72,1.0
A05_92,0.0
A05_94,0.0
A06_12,0.0
A06_35,1.0
A06_44,0.0
A06_52,0.0
A08_34,1.0
A08_50,1.0
A08_66,0.0
A08_73,0.0
A08_82,1.0
A08_90,1.0
A09_04,1.0
A09_64,1.0
A09_91,0.0
A09_93,0.0
A10_13,0.0
A10_33,0.0
A10_55,1.0
A10_91,1.0
A11_30,1.0
A11_46,0.0
A11_68,1.0
A11_73,0.0
A01_01,1.0
A01_12,1.0
A01_27,1.0
A01_73,1.0
A01_85,0.0
A01_96,0.0
A02_29,0.0
A02_43,1.0
A02_51,1.0
A04_35,0.0
A04_42,0.0
A04_77,1.0
A05_02,1.0
A05_25,1.0
A05_35,0.0
A05_39,1.0
A05_75,0.0
A06_27,1.0
A06_54,1.0
A07_84,1.0
A08_36,0.0
A08_55,1.0
A08_68,0.0
A08_72,1.0
A08_77,1.0
A08_85,1.0
A08_91,1.0
A08_94,1.0
A09_01,0.0
A09_27,1.0
A09_70,1.0
A10_18,1.0
A10_24,1.0
A10_54,0.0
A11_02,0.0
A11_17,1.0
A11_62,1.0
A01_04,0.0
A01_23,0.0
A01_25,0.0
A01_74,0.0
A02_74,0.0
A03_38,1.0
A03_66,0.0
A04_26,1.0
A04_31,0.0
A04_49,1.0
A05_76,0.0
A06_01,1.0
A06_14,1.0
A06_51,1.0
A07_09,1.0
A07_20,1.0
A07_28,0.0
A07_53,1.0
A07_56,0.0
A07_67,1.0
A07_92,0.0
A08_20,1.0
A09_18,0.0
A09_59,0.0
A10_19,0.0
A10_86,0.0
A11_04,1.0
A11_13,0.0
A11_29,1.0
A11_70,0.0
A11_82,0.0
A01_33,1.0
A01_55,0.0
A01_67,1.0
A02_09,0.0
A02_22,1.0
A02_54,0.0
A02_56,1.0
A03_07,0.0
A03_28,0.0
A03_36,0.0
A03_71,1.0
A05_51,0.0
A05_65,1.0
A05_83,0.0
A07_03,0.0
